doc_id,prompt_id,author,source,text_role,text,word_count,sentence_count,mean_sentence_len,type_token_ratio,hapax_ratio,bigram_repetition,nominalization_per_1000,participial_ing_per_1000,coordination_per_1000,that_per_1000,passive_like_per_1000,dialogue_mark_density,direction_per_1000,cardinal_per_1000,egocentric_per_1000,landmark_per_1000,motion_per_1000,sequence_per_1000,deictic_per_1000,route_step_density,survey_route_ratio,landmark_reuse_ratio,left_right_imbalance,closure_per_1000,imperative_sentence_share,first_person_per_1000,second_person_per_1000,sensory_per_1000,affect_per_1000,formulaic_phrase_per_1000,narrative_route_ratio
r2r_000_path4668_human,r2r_000_path4668,human,r2r,r2r_human_instruction,"Turn around and exit out the door to the far right of the bed. Once out, Walk down the hallway. Once you get to where the hallway opens up, turn left and walk past the stairs. Stop looking into the next door to your left facing the sitting room.",49.0,4.0,12.25,0.6530612244897959,0.6875,0.04166666666666663,0.0,61.224489795918366,40.816326530612244,0.0,0.0,0.0,204.08163265306123,0.0,61.224489795918366,142.85714285714286,163.26530612244898,61.224489795918366,20.408163265306122,428.57142857142856,0.07692307692307693,0.2857142857142857,0.3333333333333333,20.408163265306122,0.5,0.0,40.816326530612244,0.0,0.0,0.0,0.047619047619047616
r2r_001_path4480_human,r2r_001_path4480,human,r2r,r2r_human_instruction,Exit the bedroom to the door on the far left. Continue forward and wait near the top of the stairs.,20.0,2.0,10.0,0.8,0.9375,0.0,0.0,0.0,50.0,0.0,0.0,0.0,150.0,0.0,150.0,200.0,150.0,0.0,50.0,300.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
r2r_002_path4836_human,r2r_002_path4836,human,r2r,r2r_human_instruction,Walk into the hall from bedroom and turn right. Walk to the end of the hall down the stairs and stop on the first landing.,25.0,2.0,12.5,0.72,0.7777777777777778,0.04166666666666663,0.0,40.0,80.0,0.0,0.0,0.0,120.0,0.0,40.0,200.0,160.0,0.0,0.0,280.0,0.25,0.2,1.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
r2r_003_path6576_human,r2r_003_path6576,human,r2r,r2r_human_instruction,Exit the craft room and make a left. Go past the stairs that go downstairs and head towards the front door. Enter the formal living room and then pass into the dining room. Stop just before reaching the table and wait.,41.0,4.0,10.25,0.7317073170731707,0.8666666666666667,0.025000000000000022,0.0,73.17073170731707,97.5609756097561,24.390243902439025,0.0,0.0,121.95121951219512,0.0,24.390243902439025,170.73170731707316,195.1219512195122,48.78048780487805,0.0,365.8536585365854,0.16666666666666666,0.2857142857142857,1.0,24.390243902439025,1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
r2r_004_path3806_human,r2r_004_path3806,human,r2r,r2r_human_instruction,"Go up the stairs, stop two steps to the top.",10.0,1.0,10.0,0.9,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,200.0,200.0,0.0,0.0,300.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
r2r_005_path239_human,r2r_005_path239,human,r2r,r2r_human_instruction,Face the walkway with a kitchen counter with bar stools on the right and large windows on the other side and walk past them towards a large dining table Turn to the sitting area and stop.,36.0,1.0,36.0,0.75,0.7777777777777778,0.02857142857142858,0.0,55.55555555555556,83.33333333333333,0.0,0.0,0.0,83.33333333333333,0.0,27.77777777777778,83.33333333333333,83.33333333333333,0.0,0.0,166.66666666666666,0.25,0.0,1.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
r2r_006_path6109_human,r2r_006_path6109,human,r2r,r2r_human_instruction,Exit the shower and walk through the door to the right of the sink. Turn left and then left again at the pool table. Wait in the doorway to the bedroom.,31.0,3.0,10.333333333333334,0.7096774193548387,0.8181818181818182,0.033333333333333326,0.0,0.0,64.51612903225806,0.0,0.0,0.0,129.03225806451613,0.0,96.7741935483871,161.29032258064515,161.29032258064515,32.25806451612903,0.0,322.5806451612903,0.14285714285714285,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.1
r2r_007_path7003_human,r2r_007_path7003,human,r2r,r2r_human_instruction,Walk out of the closet and walk across the hall to the left of the animal pictures. Walk into the hallway past the sculpture on the table and into the bedroom next to the chair and stop.,37.0,2.0,18.5,0.5945945945945946,0.7272727272727273,0.08333333333333337,0.0,0.0,81.08108108108108,0.0,0.0,0.0,162.16216216216216,0.0,27.027027027027028,162.16216216216216,135.13513513513513,27.027027027027028,0.0,324.3243243243243,0.14285714285714285,0.0,1.0,27.027027027027028,1.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
r2r_008_path21_human,r2r_008_path21,human,r2r,r2r_human_instruction,Walk up the flight of stairs to the top. Turn and follow the railing into the bedroom area. Walk towards the closet.,22.0,3.0,7.333333333333333,0.7727272727272727,0.8823529411764706,0.0,0.0,45.45454545454545,45.45454545454545,0.0,0.0,0.0,136.36363636363637,0.0,0.0,181.8181818181818,181.8181818181818,0.0,0.0,318.1818181818182,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
r2r_009_path6793_human,r2r_009_path6793,human,r2r,r2r_human_instruction,Walk past the bed to exit the bedroom and turn hard right. Stop in the bathroom by the shower.,19.0,2.0,9.5,0.8421052631578947,0.9375,0.0,0.0,0.0,52.63157894736842,0.0,0.0,0.0,105.26315789473684,0.0,52.63157894736842,157.89473684210526,210.52631578947367,0.0,0.0,315.7894736842105,0.3333333333333333,0.0,1.0,52.63157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
r2r_010_path2573_human,r2r_010_path2573,human,r2r,r2r_human_instruction,"Turn left and follow the rope. At the end of the rope turn right and follow the rope to the left. Once you enter that room, stop right before the table in the middle.",34.0,3.0,11.333333333333334,0.6176470588235294,0.6666666666666666,0.12121212121212122,0.0,0.0,58.8235294117647,29.41176470588235,0.0,0.0,117.6470588235294,0.0,117.6470588235294,58.8235294117647,235.2941176470588,58.8235294117647,0.0,411.7647058823529,0.125,0.0,0.0,58.8235294117647,0.3333333333333333,0.0,29.41176470588235,0.0,0.0,0.0,0.07142857142857142
