doc_id,source,llm_probability,predicted_llm,excerpt
longstory_00000,longstory,0.9869298860514124,True,"As Alex logged into the game, a rush of adrenaline surged through them. They found themselves standing in a vibrant, sprawling marketplace teeming with players and NPCs alike. Everywhere they looked, there were bright banners fluttering in the virtual wind, shops packed with fantasy wares, and the chatter of adventurers sharing tales of their exploits. Alex took a deep breath,"
longstory_00001,longstory,0.011424576956980403,False,"Alex gathered his friends in the dimly lit room of an abandoned warehouse, their faces illuminated by the glow of the single, flickering light bulb overhead. They sat in a circle, the atmosphere thick with anticipation and apprehension. ""Listen,"" he began, his voice steady despite the palpable tension. ""This virtual reality game isn't just a game anymore. It's our last"
longstory_00002,longstory,0.022679763044663813,False,"Elara stood at the entrance of the ancient grove, her breath visible in the chilly morning air. With every step deeper into the lush greenery, she could feel the weight of the upcoming rite of passage—an event that would not only test her skills but also determine her future as a mage. She had gathered an array of magical artifacts,"
longstory_00003,longstory,0.7676233745662842,True,"As Aric stood on the windswept cliff overlooking the sea, a sudden chill descended upon him. The sky darkened, and jagged clouds tore apart the tranquil horizon. He felt a pull deep within his soul, drawing him into a trance-like state. In that moment, the Oracle appeared, her ethereal form shimmering like a mirage. She whispered cryptic words, her voice"
longstory_00004,longstory,0.022968567912061057,False,"In the depths of a digital landscape, Alex, a seasoned gamer, realized he could not escape the virtual prison that had ensnared him. Looking around, he spotted other players who, like him, wore expressions of confusion and resolve. With determination, Alex approached a small group of fellow players gathered near a flickering pixelated tree. Each had their own unique skill"
longstory_00005,longstory,0.6878123151754487,True,"Alex and Rhea, two skilled gamers, entered the vibrant universe of the game, a reality bursting with colors and animated landscapes. As they blinked in awe at the enchanting scenery around them, the soft hum of digital life pulsated in the air. In their initial moments, they noticed quests hovering above the heads of NPCs – each offering a glimpse"
longstory_00006,longstory,0.04888836651186678,False,"Sophia discovered the old journal in the dusty corner of the library, its leather cover cracked and faded. As she flipped through the pages, her heart raced with excitement and trepidation. The entries chronicled bizarre incidents that had occurred decades ago: mysterious disappearances, strange rituals held under the full moon, and whispers of a hidden power that lingered within the"
longstory_00007,longstory,0.3726324861499541,False,"In the deep heart of the jungle, a team of archaeologists stumbled upon the entrance to a long-forgotten temple, buried beneath layers of vines and earth. The air inside was thick with dust, and the scent of ancient stone filled their lungs as they carefully made their way through the narrow, crumbling corridors. Their torches flickered, casting long shadows on"
longstory_00008,longstory,0.85967348729833,True,"In the dimly lit room, Maya took a deep breath as she put on the VR headset. The familiar whir of technology surrounded her—a sound both reassuring and unsettling. As the virtual world enveloped her, she found herself standing in a sprawling cityscape, vibrant yet eerily sterile, a reflection of the government’s control. She remembered her friends who had logged"
longstory_00009,longstory,0.10779534240454856,False,"Alex, a skilled hacker with a penchant for uncovering hidden truths, meticulously navigates the labyrinthine digital corridors of the government's mainframe. Sweat beads on his forehead as lines of code scroll past, each character a step closer to the forbidden knowledge he seeks. Finally, he cracks the encryption—a digital vault containing classified documents spills its contents onto his screen. The"
longstory_00010,longstory,0.08659738055403084,False,"As the sun began to set over the fractured kingdoms, casting a golden hue across the gathering, Lyra stood at the center of the grand hall, her heart racing with anticipation. The echoes of her enchanting melodies filled the space, twirling through the air like whispered secrets, designed to soothe the weary hearts of the leaders arriving for the momentous"
longstory_00011,longstory,0.14885420990270623,False,": **Dr. Hayes Hacks into the Government Servers** In the depths of her underground lab, Dr. Elara Hayes sat hunched over multiple screens, her fingers dancing across the keyboard with the precision of a surgeon. The government’s network was formidable, one of the most secure in the world, but Elara had spent years perfecting her craft. Her heart raced as"
longstory_00012,longstory,0.4980188343902419,False,"Jamie discovered the chilling truth while rifling through old yearbooks, the innocent smiles of their former classmates contrasting sharply with the severity of the situation. Alex, their best friend since childhood, had vanished without a trace, leaving behind a void that felt insurmountable. In a moment of desperation, Jamie stumbled upon a social media post that painted a grim picture—Alex"
longstory_00013,longstory,0.005618076380762324,False,": In the heart of the tranquil village of Eldenwood, where the air was laced with the scent of blooming wildflowers and the laughter of children echoed, Elara sat on the edge of the village square, a shroud of uncertainty cloaked over her. It was there she awaited the village elder, a figure shrouded in wisdom and age, whose presence"
longstory_00014,longstory,0.9152388952757795,True,"The city loomed like a forgotten relic, a monument to a time long past. The streets were choked with decay, littered with rusted debris and shattered glass. Towering fences, their once-brilliant paint now faded and peeling, formed jagged lines against the grey sky. They stretched endlessly, cutting through the urban sprawl like some unyielding barrier. Crumbling buildings, their windows hollowed"
longstory_00015,longstory,0.0910230059547055,False,": **Entering the Game** The virtual world materialized around them with a jolt. The Survivor blinked, adjusting to the kaleidoscope of neon lights and sharp, digital edges. Towering skyscrapers stretched high above, their jagged contours illuminated by shifting hues of electric blues, greens, and pinks. The streets were crowded with avatars of all shapes and sizes, some racing between alleyways"
longstory_00016,longstory,0.2321377441738298,False,"In the dim light of dawn, Kaelan ventured towards the ancient temple hidden deep in the Whispering Woods. The air around him thickened with anticipation as he approached the oracle, a figure cloaked in shadows, surrounded by swirling mists. She was known for her cryptic prophecies, and today, Kaelan sought answers for the restless whispers that had disturbed his dreams."
longstory_00017,longstory,0.00357786482689009,False,": Elara stood alone in the center of the dense forest, her eyes closed as the wind rustled the leaves around her. The air felt heavy with anticipation, thick as though it were alive. Then, a strange whisper echoed in her mind, ancient and powerful. ""Elara,"" the voice called, resonating deep within her bones. ""The time has come."" Her heart"
